"TN_ugL_epi","TN_ugL_hypo","TP_ugL_epi","TP_ugL_hypo","Temp_C_epi","Temp_C_hypo","DO_mgL_epi","waterlevel","therm_depth","oxy_depth","SS","Green_ugL","Bluegreen_ugL","Brown_ugL","Mixed_ugL","Total_ugL","secchi","AirTemp","Shortwave","Longwave","RelHum","WindSpeed","Rain","DateTime"
335.5,263,15.125,15.6,13.5001714285714,11.7831326395459,7.99939097744361,11.0967717775613,1.66532083612781,0.664264342487494,7.32915593236472,5.45526315789474,2.94105263157895,11.3678947368421,1.37368421052632,21.1378947368421,NA,18.5049924214681,140.144592642784,343.045824686686,84.1850530469944,3.22437799113934,0.000784599959850311,2020-11-10
209.75,251,21.425,21.5,10.5137659574468,9.00987091954023,10.0414191489362,11.2354463009484,2.18942637836865,10.25,4.34181440432336,7.14,0.214615384615385,10.1684615384615,0.0315384615384615,17.5561538461538,NA,13.6920804341634,273.407718658447,278.768325169881,53.1995009334544,3.23299950046766,0,2021-04-05
211.666666666667,168,16.5333333333333,13.75,16.7039744230769,10.4550922077922,8.95233942307692,11.1101764313544,4.28873581490564,4.87321984271555,30.6538838048542,5.294375,0.1078125,1.3025,0.1671875,6.87,2.75,14.284996287028,247.970262527466,320.014991760254,49.9176143503685,1.45365195763663,0,2021-05-14
387.666666666667,162.5,18.7,6.75,26.1166666666667,14.1333333333333,8.165,11.1990379021642,3.7920358178006,4.28803894555947,87.8753352455932,3.71772727272727,1.79333333333333,2.07287878787879,0.120909090909091,7.70439393939394,3.1,21.44375,332.071267445882,338.881243387858,62.0864348779403,3.82987368587917,0,2021-06-15
389.871794871795,163.230769230769,19.1923076923077,7.05384615384615,24.7443570532915,13.3073238130564,7.63829592476489,11.1837085626267,3.43528517224646,4.26975204252334,84.4963416497305,3.71772727272727,1.79333333333333,2.07287878787879,0.120909090909091,7.70439393939394,3.07692307692308,18.9325004577637,338.3614320755,315.204575856527,60.0613365938583,4.00252665242646,3.03999986499548e-05,2021-06-16
416.333333333333,172,25.1,10.7,24.7942698979592,12.2500659292035,8.83270663265306,11.1056256341285,4.23117035872622,4.36551687196154,85.48088394024,5.66833333333333,1.73166666666667,3.04722222222222,0.150555555555556,10.5977777777778,2.8,26.4579114278158,304.467764854431,413.356238047282,75.4541692100953,3.17810720249558,0,2021-06-28
493.904761904762,211,25.7535714285714,11.8,26.18,13.825,8.488,11.0399285096549,5.03762690954952,4.17419376896875,92.7009158098956,5.66383333333333,2.0904880952381,3.71749007936508,0.324859126984127,11.7966706349206,2.67142857142857,26.0800033569336,307.522805372874,389.452077229818,68.9653197058558,3.036779980753,0.000567999986931682,2021-07-07
502.52380952381,213.894736842105,25.8261904761905,11.85,25.3,13.1142857142857,8.59,11.0358341946416,5.05949746836814,4.15134345767537,79.9986211951362,5.66333333333333,2.13035714285714,3.79196428571429,0.344226190476191,11.929880952381,2.65714285714286,23.6441691080729,185.692425568899,399.148325602214,77.4238769905689,3.14939307497116,0.0142176001807675,2021-07-08
657.666666666667,266,27.1333333333333,12.75,24.3552842465753,11.1874519569472,4.56203726027397,10.9356640670785,4.65057627883307,2.58822067118729,85.8935379420515,5.65433333333333,2.848,5.1325,0.692833333333334,14.3276666666667,2.4,26.1062472025554,227.105802774429,404.271242777506,73.8623267903379,2.34072868366306,0.0283651985451579,2021-07-26
1018,390,24.45,19.05,25.4785714285714,12.7,5.395,10.8287001089617,5.09810540940814,3.18215000792129,69.0615205902477,7.19788461538462,12.1903846153846,6.55846153846154,3.36865384615384,29.3155769230769,1.3,26.0212481180827,297.870766242345,382.256242116292,65.5696920402467,1.85925004868168,0,2021-08-23
