"time","Q_m3pd"
2016-02-23,413241.206830525
2016-02-24,580961.363054529
2016-02-25,408202.839837374
2016-02-26,285741.987886162
2016-02-27,200019.391520313
2016-02-28,145059.882178821
2016-02-29,115671.770183442
2016-03-01,215830.790041994
2016-03-02,151081.553029396
2016-03-03,133737.536455458
2016-03-04,93616.2755188209
2016-03-05,89225.051048099
2016-03-06,68466.4736940659
2016-03-07,58867.1744814213
2016-03-08,73342.59665394
2016-03-09,83640.7621144889
2016-03-10,100753.827005839
2016-03-11,116295.768862503
2016-03-12,124865.760422933
2016-03-13,298713.300959459
2016-03-14,689586.036485792
2016-03-15,522897.17665028
2016-03-16,400610.017135903
2016-03-17,303030.233858551
2016-03-18,234691.535598686
2016-03-19,303548.877159449
2016-03-20,229547.871605075
2016-03-21,167857.491296426
2016-03-22,127785.152686711
2016-03-23,112289.238358137
2016-03-24,109827.645090967
2016-03-25,117481.242493153
2016-03-26,110627.474727594
2016-03-27,279752.790459333
2016-03-28,219412.528984518
2016-03-29,173511.580554923
2016-03-30,142163.195741425
2016-03-31,167462.517672807
2016-04-01,282064.244461643
2016-04-02,205859.227929577
2016-04-03,151589.364051703
2016-04-04,133679.581417526
2016-04-05,99764.0862665347
2016-04-06,124990.775297099
2016-04-07,133129.91368622
2016-04-08,125854.041767678
2016-04-09,91698.306218023
2016-04-10,68352.2931961229
2016-04-11,74344.5741716383
2016-04-12,80511.814188595
2016-04-13,71794.8743467946
2016-04-14,67450.9509016715
2016-04-15,66167.1930436541
2016-04-16,68767.4619610438
2016-04-17,80779.6234776209
2016-04-18,99958.7697897905
2016-04-19,74685.0442358585
2016-04-20,52279.530965101
2016-04-21,36595.6716755707
2016-04-22,178867.116265754
2016-04-23,125206.981386028
2016-04-24,87644.8869702196
2016-04-25,61351.4208791537
2016-04-26,78709.8702681257
2016-04-27,111784.983587688
2016-04-28,194616.044511382
2016-04-29,136231.231157967
2016-04-30,326559.198958252
2016-05-01,487762.060870777
2016-05-02,519730.683409544
2016-05-03,383038.015186681
2016-05-04,274070.378630676
2016-05-05,527514.709841473
2016-05-06,369260.296889031
2016-05-07,258482.207822322
2016-05-08,180937.545475625
2016-05-09,143247.655433029
2016-05-10,209513.38600312
2016-05-11,452690.963802184
2016-05-12,528527.033861529
2016-05-13,369968.92370307
2016-05-14,278291.324525257
2016-05-15,194803.92716768
2016-05-16,136362.749017376
2016-05-17,183648.382226957
2016-05-18,136122.77395887
2016-05-19,95285.941771209
2016-05-20,366310.753022585
2016-05-21,292010.40071581
2016-05-22,212864.755701067
2016-05-23,153435.642590747
2016-05-24,107404.949813523
2016-05-25,75183.464869466
2016-05-26,72544.7017879415
2016-05-27,50781.291251559
